orden,desde,desde_mes,desde_anio,desde_mes_nombre,vence,estado,situacion_actual,sujeto_obligado,ministerio_orbita,provincia,ingreso,motivo_del_reclamo,resumen,sintesis_de_resolucion,resultado_intimacion,n_expediente,informe_de_cierre
1,27/11/2017,11,2017,Noviembre,01/10/2018,Cerrado,Finalizado,Administración de Parques Nacionales,Ministerio de Ambiente y Desarrollo Sostenible,Neuquén,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-29999784-APN-AAIP,NA
2,29/11/2017,11,2017,Noviembre,01/12/2018,Cerrado,Finalizado,Registro Nacional de Puertos,Ministerio de Transporte,Santa Fe,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-30439758-APN-AAIP,NA
3,30/11/2017,11,2017,Noviembre,13/01/2018,Cerrado,Finalizado,Administración de Parques Nacionales,Ministerio de Ambiente y Desarrollo Sostenible,Neuquén,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-30671310-APN-AAIP,NA
4,01/12/2017,12,2017,Diciembre,16/01/2018,Cerrado,Finalizado,Edesur S.A,Empresa,Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-30837261-APN-AAIP,NA
5,01/12/2017,12,2017,Diciembre,16/01/2018,Cerrado,Finalizado,Gendarmería Nacional,Ministerio de Seguridad,Formosa,PAPEL,Silencio,Intimación,Intimación por denegatoria injustificada,NA,EX-2017-30827262-APN-AAIP,NA
6,05/12/2017,12,2017,Diciembre,18/01/2018,Cerrado,Finalizado,Edesur S.A,Empresa,Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-31370134-APN-AAIP,NA
7,06/12/2017,12,2017,Diciembre,22/01/2018,Cerrado,Finalizado,Comisión Nacional de Monumentos,Ministerio de Cultura,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-31632998-APN-AAIP,NA
8,15/12/2017,12,2017,Diciembre,30/01/2018,Cerrado,Finalizado,AFIP,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2017-33558529-APN-AAIP,NA
9,27/12/2017,12,2017,Diciembre,02/06/2018,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2017-35097172-APN-AAIP,NA
10,02/01/2018,1,2018,Enero,15/02/2018,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Jujuy,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-00163657-APN-AAIP,NA
11,02/01/2018,1,2018,Enero,15/02/2018,Cerrado,Finalizado,ANMAC,Ministerio de Justicia y Derechos Humanos,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-00149153-APN-AAIP,NA
12,04/01/2018,1,2018,Enero,19/02/2018,Cerrado,Finalizado,Edesur S.A,Empresa,Buenos Aires,E-MAIL,Denegatoria injustificada,Intimación,Intimación parcial,NA,EX-2018-00862746-APN-AAIP,NA
13,04/01/2018,1,2018,Enero,19/02/2018,Cerrado,Finalizado,Edesur S.A,Empresa,Buenos Aires,E-MAIL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-00861117-APN-AAIP,NA
14,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,Poder Judicial,Poder Judicial,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-01464426-APN-AAIP,NA
15,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,Poder Judicial,Poder Judicial,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-01470057-APN-AAIP,NA
16,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,Poder Judicial,Poder Judicial,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-01459482-APN-AAIP,NA
17,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,Poder Judicial,Poder Judicial,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-01454568-APN-AAIP,NA
18,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,BCRA,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-1485694-APN-AAIP,NA
19,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,BCRA,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-1499153-APN-AAIP,NA
20,05/01/2018,1,2018,Enero,20/02/2018,Cerrado,Finalizado,Superintendencia de Seguros de la Nación,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-01699079-APN-AAIP,NA
21,11/01/2018,1,2018,Enero,26/02/2018,Cerrado,Finalizado,Poder Legislativo,Oficina de Transparencia y Acceso a la Información Pública del Senado de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,No aplica,No corresponde,Otra jurisdicción,NA,EX-2018-01973524-APN-AAIP,NA
22,11/01/2018,1,2018,Enero,26/02/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-01939536-APN-AAIP,NA
23,11/01/2018,1,2018,Enero,26/02/2018,Cerrado,Finalizado,Poder Legislativo,Oficina de Transparencia y Acceso a la Información Pública del Senado de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,No aplica,No corresponde,Otra jurisdicción,NA,EX-2018-01963716-APN-AAIP,NA
24,11/01/2018,1,2018,Enero,26/02/2018,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-01911908-APN-AAIP,NA
25,15/01/2018,1,2018,Enero,28/02/2018,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-02302638-APN-AAIP,NA
26,22/01/2018,1,2018,Enero,03/07/2018,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-03700190-APN-AAIP,NA
27,25/01/2018,1,2018,Enero,NA,Cerrado,Finalizado,Poder Judicial,Poder Judicial,Jujuy,TAD,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-09382040-APN-DNAIP#AAIP,NA
28,26/01/2018,1,2018,Enero,13/03/2018,Cerrado,Finalizado,AFIP,Ministerio de Economía,Jujuy,E-MAIL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-04547863-APN-AAIP,NA
29,09/02/2018,2,2018,Febrero,27/03/2018,Cerrado,Finalizado,UNM,Universidad,Misiones,PAPEL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-06665132- -APN-AAIP,NA
30,21/02/2018,2,2018,Febrero,04/09/2018,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-07895514- -APN-AAIP,NA
32,23/02/2018,2,2018,Febrero,04/11/2018,Cerrado,Finalizado,Procuración del Tesoro Nacional,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Decreto 206/2017,NA,EX-2018-08270962- -APN-DNAIP#AAIP,NA
33,27/02/2018,2,2018,Febrero,13/04/2018,Cerrado,Finalizado,Dirección Nacional de Vialidad,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,Rechazo,Rechazo,NA,EX-2018-08715038-APN-AAIP,NA
34,01/03/2018,3,2018,Marzo,19/04/2018,Cerrado,Finalizado,Provincia,Provincia,Buenos Aires,PAPEL,Denegatoria injustificada,No corresponde,Otra jurisdicción,NA,EX-2018-8983236-APN-DDYME#JGM,NA
37,02/03/2018,3,2018,Marzo,18/04/2018,Cerrado,Finalizado,AFI,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-9330179-APN-AAIP,NA
35,02/03/2018,3,2018,Marzo,18/04/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-09260303-APN-DNAIP#AAIP,NA
36,02/03/2018,3,2018,Marzo,18/04/2018,Cerrado,Finalizado,OA,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-09245181-APN-DNAIP#AAIP,NA
38,05/03/2018,3,2018,Marzo,19/04/2018,Cerrado,Finalizado,Dirección Nacional de Vialidad,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-09526789-APN-DNAIP#AAIP,NA
39,05/03/2018,3,2018,Marzo,19/04/2018,Cerrado,Finalizado,Dirección Nacional de Vialidad,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-09524354-APN-DNAIP#AAIP,NA
40,07/03/2018,3,2018,Marzo,23/04/2018,Cerrado,Finalizado,"Ministerio de Agricultura, Ganadería y Pesca (no vigente)","Ministerio de Agricultura, Ganadería y Pesca (no vigente)",Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-9932849-APN-AAIP,NA
41,07/03/2018,3,2018,Marzo,12/10/2018,Cerrado,Finalizado,OA,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,No aplica,No corresponde,Otra jurisdicción,NA,Ex-2018-09767723-APN-DNAIP#AAIP,NA
42,12/03/2018,3,2018,Marzo,26/04/2018,Cerrado,Finalizado,OA,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-10614210-APN-AAIP,NA
43,15/03/2018,3,2018,Marzo,03/05/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-11292459-APN-DNAIP#AAIP,NA
44,16/03/2018,3,2018,Marzo,04/05/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-11478283-APN-DNAIP#AAIP,NA
